1985-05-31,24,0.457,0.942,9,-8.618,1,0.0794,0.652,0,0.79,0.843,142.506,226693,4,207139,alternative rock
1985-05-31,22,0.444,0.79,5,-6.941,1,0.0327,0.664,3.07e-05,0.683,0.55,89.429,300548,4,207139,alternative rock
1985-05-31,20,0.422,0.934,9,-7.504,0,0.0687,0.491,0,0.373,0.493,139.144,242267,4,207139,alternative rock
1986,21,0.63,0.378,9,-14.344,1,0.0368,0.4,1.57e-05,0.0732,0.267,92.767,274267,3,432684,alternative rock
1986-01-01,20,0.615,0.226,4,-17.746,1,0.0273,0.267,1.06e-06,0.0923,0.136,97.363,292093,4,238723,alternative rock
1986-01-01,26,0.252,0.972,3,-7.032,1,0.0788,0.00886,1.24e-05,0.31,0.196,151.316,217787,4,3226329,alternative rock
1986-08-09,23,0.252,0.972,3,-7.032,1,0.0788,0.00886,1.24e-05,0.31,0.196,151.316,217787,4,3226329,alternative rock
1986-01-01,23,0.706,0.62,4,-13.713,1,0.0636,0.059,0,0.0739,0.806,129.03,217067,4,262161,alternative rock
1986-09-01,15,0.479,0.299,0,-17.059,1,0.0335,0.0833,6.73e-05,0.109,0.187,132.933,315173,4,1533760,alternative rock
1986-01-01,6,0.445,0.659,5,-11.022,1,0.0319,0.0479,0,0.906,0.618,75.22,168507,4,118067,alternative rock
1986-01-01,6,0.496,0.878,4,-10.502,1,0.0387,0.0367,0,0.573,0.867,132.786,118933,4,118067,alternative rock
1986-01-01,6,0.577,0.887,5,-9.412,0,0.0409,0.105,0,0.8,0.646,123.653,84360,4,118067,alternative rock
1986-01-01,6,0.423,0.914,0,-10.309,0,0.0814,0.0282,0,0.774,0.333,159.881,78560,4,118067,alternative rock
1986-03-05,7,0.6,0.399,4,-9.756,1,0.0253,0.391,1.66e-05,0.0924,0.109,97.353,292600,4,238723,alternative rock
1986-01-01,9,0.537,0.741,9,-11.542,1,0.039,0.0457,0,0.382,0.61,141.027,164627,4,98111,alternative rock
1986,0,0.469,0.802,9,-8.536,1,0.047,0.376,1.73e-05,0.359,0.843,188.294,184747,4,75740,alternative rock
1986-03-05,2,0.539,0.444,4,-9.004,1,0.0245,0.475,3.3e-05,0.722,0.194,93.268,314939,4,238723,alternative rock
1987-09-05,47,0.404,0.987,1,-4.354,1,0.202,0.00334,2.3e-06,0.611,0.204,123.68,227747,4,3226329,alternative rock
1987-09-05,43,0.248,0.993,8,-3.489,0,0.0863,0.00734,0.487,0.355,0.369,152.218,274673,4,3226329,alternative rock
1987-01-01,27,0.59,0.738,6,-12.083,0,0.0645,0.611,4.62e-06,0.543,0.595,130.974,243664,4,1152291,alternative rock
1987,25,0.516,0.93,4,-2.983,0,0.0444,0.11,0,0.225,0.434,95.839,260440,4,118067,alternative rock
1987-06-10,28,0.426,0.872,11,-7.759,0,0.0503,0.00124,0.033,0.41,0.503,95.891,258120,4,1334578,alternative rock
1987-09-05,25,0.23,0.739,6,-10.526,1,0.0394,0.076,3.48e-06,0.13,0.428,164.464,450267,4,3226329,alternative rock
1987-09-05,24,0.214,0.97,6,-7.508,1,0.0731,0.0258,3.63e-05,0.779,0.332,191.945,250960,4,3226329,alternative rock
1987,11,0.657,0.58,1,-13.73,1,0.0523,0.0143,0.000273,0.0732,0.748,127.829,168333,4,109926,alternative rock
1987-09-05,23,0.352,0.995,1,-7.429,1,0.0816,0.127,0.0297,0.407,0.205,102.496,184773,4,3226329,alternative rock
1987-09-05,22,0.406,0.99,10,-7.01,0,0.0975,0.00862,0.00126,0.337,0.153,92.186,240594,4,3226329,alternative rock
1987-09-05,21,0.463,0.996,1,-6.991,1,0.0453,0.232,0.00027,0.443,0.106,105.555,197600,4,3226329,alternative rock
1987-09-05,21,0.395,0.933,1,-4.102,1,0.336,0.00451,2.75e-05,0.305,0.205,97.89,280093,4,3226329,alternative rock
1987-09-05,19,0.33,0.967,3,-9.271,0,0.0549,0.554,0.454,0.504,0.346,162.952,245227,4,3226329,alternative rock
1987-09-05,22,0.397,0.996,8,-7.252,1,0.0678,0.018,0.000589,0.186,0.0395,137.511,208773,4,3226329,alternative rock
1987,15,0.514,0.972,9,-4.684,1,0.0821,0.00853,0.000103,0.517,0.643,93.605,215293,4,265019,alternative rock
1987-09-05,20,0.477,0.992,1,-2.383,1,0.212,0.0736,0.00227,0.136,0.0866,121.327,227520,4,3226329,alternative rock
1987,13,0.373,0.986,11,-4.704,0,0.0704,0.00398,2.4e-05,0.841,0.425,90.768,186933,4,265019,alternative rock
1987-09-05,14,0.404,0.987,1,-4.354,1,0.202,0.00334,2.3e-06,0.611,0.204,123.68,227747,4,3226329,alternative rock
1987,10,0.17,0.975,0,-3.752,1,0.136,0.0137,2.86e-06,0.864,0.239,149.254,218493,4,265019,alternative rock
1987-09-05,12,0.113,0.992,8,-6.266,0,0.208,1.13e-05,0.819,0.374,0.0556,154.348,173267,4,3226329,alternative rock
1987,10,0.226,0.971,0,-4.855,1,0.158,0.00743,0.00541,0.527,0.384,158.175,201667,4,265019,alternative rock
1987-08-03,11,0.446,0.762,9,-11.942,1,0.0321,0.00085,0.0308,0.199,0.706,136.878,351133,4,539452,alternative rock
1987,9,0.226,0.977,11,-4.508,0,0.128,0.000698,0.00176,0.63,0.507,160.522,198373,4,265019,alternative rock
1987-09-05,11,0.262,0.997,8,-5.754,0,0.127,3.09e-06,0.872,0.0805,0.0384,82.383,143853,4,3226329,alternative rock
1987-09-05,11,0.219,0.996,10,-6.321,0,0.166,2.15e-05,0.715,0.228,0.067,138.456,207027,4,3226329,alternative rock
